UPC,FC,Linked Asin,tt_id,
16000468139,LGB7,"['B0199RG9SQ', 'B01BK9O3D4']",559684846,23:09.5
19800702083,TUL2,"['B01GFLZ4DU', 'B06X9SVCTS']",559683250,23:11.7
13000993906,PCW1,"['B00NPPCJ2O', 'B071L9QXPK']",Exception,23:11.7
13000993906,RDU1,"['B00NPPCJ2O', 'B071L9QXPK']",559682862,23:13.8
21000064991,BNA3,"['B06XXJGVB9', 'B06ZXWBPFZ']",559683251,23:16.2
38000172755,PSP1,"['B077YQZLS5', 'B07GX2B28X']",559687399,23:18.9
19800703318,IND1,"['B01GFLZ14C', 'B074NB5VGH']",559684745,23:21.0
13562289721,TUL2,"['B076HMT49K', 'B07CSSPRFG']",559687201,23:23.7
19800702083,HOU2,"['B01GFLZ4DU', 'B06X9SVCTS']",559682183,23:26.4
8.08124E+11,TUL2,"['B00MELHLLO', 'B00T7PH2PK']",559684849,23:28.5
25500205298,IND1,"['B010ULFWOM', 'B016KZTPJU']",559684258,23:31.2
8.5177E+11,IND1,"['B00J074W7Q', 'B013Q21NKE']",559684259,23:33.9
31600153100,HOU2,"['B000P8BC90', 'B010NPG1BS']",559687102,23:36.5
8.5177E+11,BWI2,"['B00J074W7Q', 'B013Q21NKE']",559687299,23:38.6
13562289721,CHA1,"['B076HMT49K', 'B07CSSPRFG']",559684850,23:40.6
51500247693,MCO1,"['B00061ETX2', 'B014M6LTSO']",559686904,23:42.8
19800702083,DAL3,"['B01GFLZ4DU', 'B06X9SVCTS']",559687599,23:45.5
46500154799,LGB7,"['B000NP76MW', 'B00RBPZHHS']",559683175,23:47.7
16000468139,CMH4,"['B0199RG9SQ', 'B01BK9O3D4']",559687300,23:49.8
79126315015,FAT1,"['B000HGC96K', 'B0105MHWEY']",559684439,23:52.2
16000459007,CLE3,"['B000ST19NU', 'B017XKKHHK']",559686713,23:54.5
13562493982,LAS7,"['B076HST3SH', 'B07CSQTZ95']",559685146,23:56.6
8.5177E+11,MKE1,"['B00J074W7Q', 'B013Q21NKE']",559684262,23:59.7
16000480377,LAS7,"['B00LUK3H90', 'B01KX6089S']",559687302,24:01.7
38000172755,CLE3,"['B077YQZLS5', 'B07GX2B28X']",559686905,24:03.9
74471112012,PHX6,"['B00060NI9Y', 'B01ERC02U4']",559683569,24:06.6
19800703318,BHM1,"['B01GFLZ14C', 'B074NB5VGH']",559684750,24:08.6
13562289721,DAL3,"['B076HMT49K', 'B07CSSPRFG']",559685627,24:17.5
13000993906,PSP1,"['B00NPPCJ2O', 'B071L9QXPK']",559682866,24:19.6
25500205298,BHM1,"['B010ULFWOM', 'B016KZTPJU']",559686222,24:21.6
38000172755,DFW7,"['B077YQZLS5', 'B07GX2B28X']",559684751,24:23.9
38000172755,MKC6,"['B077YQZLS5', 'B07GX2B28X']",559685342,24:26.2
79126315237,CLE3,"['B000HG84EQ', 'B0105MJ4E0']",559685149,24:28.1
13562468072,CMH1,"['B076HMT4PN', 'B07NL7BNMS']",559683252,24:30.3
16000486966,MKE1,"['B00KRFKEZY', 'B07CSSH68F']",559684752,24:32.4
38000172755,TUS2,"['B077YQZLS5', 'B07GX2B28X']",559683570,24:35.1
19800702083,GRR1,"['B01GFLZ4DU', 'B06X9SVCTS']",559687405,24:37.9
8.5177E+11,BHM1,"['B00J074W7Q', 'B013Q21NKE']",559685150,24:40.0
16000480377,MIA1,"['B00LUK3H90', 'B01KX6089S']",559683179,24:42.2
8.08124E+11,MIA1,"['B003BVI76O', 'B00T7P9S98']",559686517,24:44.9
16000420878,MKE1,"['B07CMCQ387', 'B07D3FSHSB']",559686907,24:47.1
21000064991,CMH1,"['B06XXJGVB9', 'B06ZXWBPFZ']",559685152,24:49.1
16000468139,GRR1,"['B0199RG9SQ', 'B01BK9O3D4']",559684143,24:51.2
16000480377,DTW1,"['B00LUK3H90', 'B01KX6089S']",559686223,24:53.3
8.08124E+11,DFW7,"['B00R1OZZUI', 'B00T7PGYIG']",559683571,24:56.0
13562468072,PHX6,"['B076HMT4PN', 'B07NL7BNMS']",559684363,24:58.1
16000485877,LGB7,"['B00GAQ2LVO', 'B07GB61TH2']",559687503,25:00.5
38000172755,IND1,"['B077YQZLS5', 'B07GX2B28X']",559682775,25:02.6
8.5177E+11,LGB3,"['B00J074W7Q', 'B013Q21NKE']",559683866,25:04.8
19800703318,LAS7,"['B01GFLZ14C', 'B074NB5VGH']",559685347,25:07.0
16000480377,LGB7,"['B00LUK3H90', 'B01KX6089S']",559684444,25:09.1
